"clust","lat","long","mobile","elect","bank","wealth","adm0","adm1","label","rural","weight"
280,0.854025,33.253499,0.583333333333333,0.0416666666666667,NA,0.0285183333333333,"Uganda","east central","Uganda DHS 2011",1,26.236824
282,0.87463,33.184703,0.652173913043478,0.304347826086957,NA,0.32039,"Uganda","east central","Uganda DHS 2011",1,34.78382
284,0.97447,33.21317,0.333333333333333,0,NA,-0.390715416666667,"Uganda","east central","Uganda DHS 2011",1,19.463544
287,0.964341,33.509117,0.458333333333333,0,NA,-0.449945,"Uganda","east central","Uganda DHS 2011",1,15.838296
289,1.217782,33.436982,0.541666666666667,0,NA,-0.5441825,"Uganda","east central","Uganda DHS 2011",1,30.202728
291,0.695844,33.098299,0.541666666666667,0,NA,-0.33166,"Uganda","east central","Uganda DHS 2011",1,25.638528
293,0.771282,33.097753,0.608695652173913,0.0869565217391304,NA,0.219266956521739,"Uganda","east central","Uganda DHS 2011",1,27.761322
294,0.802777,33.73468,0.52,0,NA,-0.4035552,"Uganda","east central","Uganda DHS 2011",1,22.062775
295,0.841287,33.692326,0.727272727272727,0.318181818181818,NA,0.828386818181818,"Uganda","east central","Uganda DHS 2011",0,7.062352
297,0.434793,33.398802,0.523809523809524,0,NA,-0.165371904761905,"Uganda","east central","Uganda DHS 2011",1,37.41864
299,0.355663,33.503567,0.541666666666667,0,NA,-0.323675,"Uganda","east central","Uganda DHS 2011",1,25.427208
302,0.354998,34.008079,0.608695652173913,0.0434782608695652,NA,-0.0898995652173913,"Uganda","east central","Uganda DHS 2011",1,20.636566
305,0.386814,34.047757,0.5,0,NA,-0.509354090909091,"Uganda","east central","Uganda DHS 2011",1,17.908528
306,1.249232,34.774664,0.25,0,NA,-0.692427083333333,"Uganda","eastern","Uganda DHS 2011",1,36.772368
308,1.334351,34.366929,0.428571428571429,0,NA,-0.499480952380952,"Uganda","eastern","Uganda DHS 2011",1,36.508752
309,1.08188,34.152051,0.791666666666667,0.458333333333333,NA,0.816762916666667,"Uganda","eastern","Uganda DHS 2011",0,4.84116
310,1.077355,34.213475,1,1,NA,2.52834733333333,"Uganda","eastern","Uganda DHS 2011",0,1.657725
312,0.790028,34.361432,0.608695652173913,0,NA,-0.196852608695652,"Uganda","eastern","Uganda DHS 2011",1,19.662907
313,0.91084,34.369182,0.458333333333333,0.0833333333333333,NA,-0.334817916666667,"Uganda","eastern","Uganda DHS 2011",1,14.747496
315,0.982888,34.318798,0.590909090909091,0,NA,-0.240267272727273,"Uganda","eastern","Uganda DHS 2011",1,30.736332
317,1.029352,34.220413,0.375,0.166666666666667,NA,-0.327133333333333,"Uganda","eastern","Uganda DHS 2011",1,38.85036
319,0.980725,34.162559,0.434782608695652,0.0434782608695652,NA,-0.235452608695652,"Uganda","eastern","Uganda DHS 2011",1,38.333272
321,1.001119,34.443812,0.2,0,NA,-0.5371245,"Uganda","eastern","Uganda DHS 2011",1,37.83152
323,1.18255,33.686825,0.333333333333333,0,NA,-0.276150416666667,"Uganda","eastern","Uganda DHS 2011",0,15.402936
325,1.141066,33.879648,0.608695652173913,0.0434782608695652,NA,-0.0349421739130435,"Uganda","eastern","Uganda DHS 2011",1,39.881839
327,1.007753,33.853513,0.56,0,NA,-0.306122,"Uganda","eastern","Uganda DHS 2011",1,41.04475
328,1.235212,33.585401,0.4,0,NA,-0.5251272,"Uganda","eastern","Uganda DHS 2011",1,40.71665
331,1.06771,34.076859,0.24,0,NA,-0.5636324,"Uganda","eastern","Uganda DHS 2011",1,39.250225
332,1.144695,34.282622,0.681818181818182,0.227272727272727,NA,0.231798636363636,"Uganda","eastern","Uganda DHS 2011",0,9.058236
333,1.151679,34.369168,0.434782608695652,0,NA,-0.450133043478261,"Uganda","eastern","Uganda DHS 2011",1,27.57562
335,1.138277,34.268296,0.565217391304348,0.0869565217391304,NA,-0.250032608695652,"Uganda","eastern","Uganda DHS 2011",1,37.73288
